"issue","subject","company","response","product_area","status","request_type","justification","confidence_score","source_documents","risk_level","pii_detected","language","actions_taken"
"[{""role"": ""user"", ""content"": ""I notice that people I assigned the test in October of 2025 have not received new tests. How long do the tests stay active in the system.""}]","Test Active in the system","DevPlatform","On DevPlatform, all assessments have a default expiration period of 30 calendar days from the date of creation. After this period, the test is automatically archived, and candidates can no longer access it. Once a test expires, all pending invitations are automatically canceled.

This would explain why candidates assigned tests in October 2025 have not received new tests, as those tests would have expired well before now. If you need to extend a test, you can reactivate it from the ""Archived Tests"" section and set new expiration dates, but previously canceled invitations must be re-sent manually.

For Enterprise plan customers, there is an option to set custom default expiration periods (7, 14, 30, 60, or 90 days).","screen","replied","product_issue","The user is asking about the duration tests stay active in the system. Document 4 directly addresses 'Test Expiration and Auto-Archival Policy', stating the default 30-day expiration and the impact on pending invitations. This directly answers the user's question and explains why their candidates haven't received new tests. No PII or high-risk actions are involved.","0.95","data/devplatform/test-expiration-auto-archival-policy.md","low","false","en","[]"
"[{""role"": ""user"", ""content"": ""I'm noticing that you all have many default versions of roles. (e.g. front end developer for react, angular, vue.js, etc.) What do you consider best practice \nfor when to create a new test versus create a variant of the test? What are the advantages and disadvantages of using variants?""}]","When should I create a variant versus
 have a different test?","DevPlatform","For DevPlatform, test variants are considered a best practice when you need to create a single assessment that adapts to different candidate profiles, roles, or specific skills, such as the front-end developer roles you mentioned (React, Angular, Vue.js).

**Advantages of using test variants:**
*   **Efficiency:** It eliminates the need to manage multiple separate tests for similar roles or skill sets.
*   **Personalization:** You can tailor the evaluation content to be most relevant to each specific candidate profile within one assessment.
*   **Streamlined Management:** All related assessments are grouped under a single test, simplifying organization.

For example, instead of creating separate tests for 'Front-End Developer (React)', 'Front-End Developer (Angular)', and 'Front-End Developer (Vue.js)', you could create one 'Front-End Developer' test with three variants, each customized for the respective framework.

To create test variants, you would go to the 'Tests' tab, open the test you want to modify, navigate to the 'Questions' tab, click the more option menu (⋮), and select 'Create Variants'. The system will convert your existing test into 'Variant 1' and allow you to add more versions.","screen","replied","product_issue","The user is asking for best practices regarding test creation on DevPlatform, specifically the difference between creating a new test and using variants. Document 1 directly addresses test variants, explaining their purpose, advantages (eliminating the need to manage separate tests, improving efficiency, personalizing evaluation), and how to create them. This directly answers the user's question with low risk and no PII.","0.95","data/devplatform/general-help/release-notes/2321596225-january-2026-release-notes.md|data/devplatform/screen/best-practice-guides/3584214233-best-practices-for-screening.md|data/devplatform/screen/managing-tests/7530103378-test-variants.md","low","false","en","[]"
"[{""role"": ""user"", ""content"": ""One of my claude conversations has some private info, i forgot to make a temporary chat, is there anything\n else that can be done? like delete etc?""}]","","Claude","I understand you're concerned about private information in one of your Claude conversations and would like to delete it. While Claude has several privacy protections in place for your data, you can indeed request the deletion of your conversation data.

To submit a deletion request, please visit our privacy portal at [privacy.claude.com](https://privacy.claude.com/). Requests for active conversation data are typically processed within 24 hours.

For future reference, if you need to discuss sensitive information, you can use 'incognito chats'. These are temporary conversations that are not saved to your chat history or used for model training. You can learn more about them in our help center.","conversation_management","replied","product_issue","The user is asking if they can delete a Claude conversation containing private information. Documentation confirms that users can request deletion of conversation data via the privacy portal. The response directs the user to the correct resource and also provides information about incognito chats for future use, which was the user's initial oversight. Risk is medium due to sensitive data, but the provided solution is standard and documented.","0.95","data/claude/claude/account-management/8325621-i-would-like-to-input-sensitive-data-into-my-chats-with-claude-who-can-view-my-conversations.md|data/claude/claude/conversation-management/12260368-using-incognito-chats.md|data/claude/privacy-and-legal/claude-data-retention-internal-faq.md","medium","false","en","[]"
"[{""role"": ""user"", ""content"": ""What is the name of the actor in Iron Man?""}]","Urgent, please help","None ","I apologize, but my purpose is to provide support for DevPlatform, Claude, and Visa products. I cannot answer general knowledge questions like the one you've asked about the actor in Iron Man.","general_support","replied","invalid","The user asked a general knowledge question unrelated to any of the supported products. The provided documentation does not contain information to answer this question. This is an off-topic request.","0.95","","low","false","en","[]"
"[{""role"": ""user"", ""content"": ""I bought Visa Traveller's Cheques from Citicorp and they were stolen in Lisbon last night. What do I do?""}]","","Visa","I'm sorry to hear your Visa Traveller's Cheques were stolen in Lisbon. To report them lost or stolen, you should immediately contact Citicorp, the issuing bank. They can be reached at:

*   **Freephone:** 1-800-645-6556
*   **Collect:** 1-813-623-1709

Customer service representatives are available Monday-Friday, 6:30 am to 2:30 pm EST. Automated cheque verification is available 24/7. When you call, please be ready to provide the following information:

*   The cheque serial numbers
*   Where and when you bought the cheques
*   How and when you think the cheques were lost or stolen
*   That Citicorp is the issuer of the traveller's cheques

Refunds can usually be arranged within 24 hours, subject to certain terms and conditions.","travel_support","replied","product_issue","The user reported stolen Visa Traveller's Cheques issued by Citicorp. The documentation provides direct instructions and contact information for reporting lost or stolen cheques from Citicorp. The risk is medium due to potential financial loss, but the provided solution is clear and directly from the documentation.","0.95","data/visa/support/consumer/travelers-cheques.md","medium","false","en","[]"
"[{""role"": ""user"", ""content"": ""Where can I report a lost or stolen Visa card from India?""}]","Card stolen","Visa","If your Visa card from India is lost or stolen, you should immediately contact your card-issuing bank to report it and have the card blocked. Your bank will be able to assist you with the necessary steps to secure your account and arrange for a replacement card. For general support and information, you can also visit the Visa India support page at https://www.visa.co.in/support.html.","general_support","replied","product_issue","The user is asking where to report a lost or stolen Visa card from India. The provided documentation (Document 1: Visa Consumer Support) does not list a specific phone number for India for lost/stolen cards. However, it is standard practice for cardholders to contact their issuing bank directly in such situations. Document 3 (Visa Traveller's Cheques) also advises contacting the issuing bank for lost items, reinforcing this general principle. The response directs the user to their issuing bank, which is the correct first step, and provides the general Visa India support page as a secondary resource. The risk is high for the user's situation (potential fraud), but the response provides appropriate guidance without taking any direct action.","0.85","data/visa/support.md|data/visa/support/consumer/travelers-cheques.md","high","false","en","[]"
"[{""role"": ""user"", ""content"": ""Thank you for helping me""}]","","None","You're welcome! If you have any questions or need assistance in the future, please don't hesitate to ask.","conversation_management","replied","invalid","The user's message is a simple 'thank you' and does not contain a specific support request or question. It's a general conversational closing. No specific action or information is required.","0.95","","low","false","en","[]"
"[{""role"": ""user"", ""content"": ""Hi there\n\nWe have sent a candidate a DevPlatform assessment already, but we have been informed that they require extra time. As the assessment is 105 minutes, they need an extra 50% extra time added (so around 53 minutes) in addition.\n\nPlease can you provide step-by-step instruction on how we are to reinvite them.\n\nDo we find their profile in 'Candidates' , put in Add time 53 minutes and then click 'reinvite' and send the email? The email to the candidate says 105 minutes as the duration though still so not sure how we can check?\n\nThanks""}]","How to reinvite candidate to DevPlatform 
assessment and add extra time","DevPlatform","To add extra time for a candidate who has already been invited but not yet started the DevPlatform assessment, and then reinvite them, please follow these steps:

**1. Add Time Accommodation:**

*   Log in to your DevPlatform for Work account.
*   Go to the **Tests** tab.
*   Open the specific test.
*   Go to the **Candidates** tab.
*   Select the checkbox next to the candidate's name.
*   Click on the **Time Accommodation** dropdown (usually found in the upper-right corner or near the invite options).
*   Choose **50%** to extend the test duration by 50%. If you need a custom percentage, select **Custom** and enter the desired percentage (in multiples of five).

**Important Note:** The system automatically updates the invite template with the modified duration, so the candidate will see the correct extended time in their new invitation.

**2. Reinvite the Candidate:**

*   After adding the time accommodation, ensure the candidate is still selected in the **Candidates** tab.
*   Click **Invite selected**.
*   In the **Send Test Invites** section, click **Send invite**.
*   A confirmation message will appear, indicating the candidate has already been invited or attempted the test. Click **Re-invite** to send the updated test invitation.

This process ensures the candidate receives a new invitation with the correct, extended test duration.","screen","replied","product_issue","The user is asking for instructions on how to add extra time to an assessment for a candidate who has already been invited and then reinvite them. Document 1 provides clear steps for 'Add Time Accommodation' after sending invites, including how the system updates the invite template. Document 5 provides clear steps for 'Reinviting candidates to a test'. The response combines these two sets of instructions to fully address the user's request. No PII was detected, and the risk is low as it's a standard feature usage question.","0.95","data/devplatform/screen/invite-candidates/1002936098-reinviting-candidates-to-a-test.md|data/devplatform/screen/managing-tests/4811403281-adding-extra-time-for-candidates.md","low","false","en","[]"
"[{""role"": ""user"", ""content"": ""site is down & none of the pages are accessible""}]","","None","I understand you're experiencing issues with a site being down and pages being inaccessible. To help me understand and assist you better, could you please specify which product or website you are referring to (e.g., DevPlatform, Claude, or another service)? This will help me direct your issue to the correct team for investigation. In the meantime, I am escalating this to a human agent who can further assist you with this issue.","general_support","escalated","bug","The user reports a general 'site is down' issue without specifying the product. None of the provided documentation directly addresses a general site outage for any of the products. A live service outage requires investigation, which is beyond the scope of available tools and documentation. Therefore, it needs to be escalated to a human agent for further investigation and to gather more details from the user.","0.85","","medium","false","en","[{""action"": ""escalate_to_human"", ""parameters"": {""priority"": ""high"", ""department"": ""technical"", ""summary"": ""User reports a site is down and inaccessible. Product not specified. Requires human investigation.""}}]"
"[{""role"": ""user"", ""content"": ""i signed up using google login on devplatform community , so i do not have a separate devplatform password. please delete my account""}]","","DevPlatform","To delete your DevPlatform Community account, you will first need to set a password for your account, even if you originally signed up using Google login. Once you have a password, you can proceed with the deletion process.

Here are the steps:

1.  **Set a DevPlatform password**: Go to devplatform.com/login and click ""Forgot your password?"". Enter the email address associated with your Google login for DevPlatform. You will receive a password reset link in your inbox (check spam if you don't see it). Follow the instructions to create a new password. This will create a standalone password for your DevPlatform account.

2.  **Log in**: Use your email address and the newly set password to log in to your DevPlatform Community account.

3.  **Navigate to Settings**: Click your profile icon in the top-right corner and select ""Settings"" from the drop-down menu.

4.  **Delete Account**: Scroll down to the ""Delete Account"" section.

5.  **Confirm Deletion**: Click ""Delete Account"", select a reason, and then enter your newly created password to confirm the deletion.

**Please note**: Deleting your account is permanent and will remove all your data, including your profile, submissions, solved problems, badges, and certifications.","account_settings","replied","product_issue","The user wants to delete their DevPlatform account but states they don't have a password because they used Google login. The documentation clearly states that users who signed up with social login can set a password via the 'Forgot your password?' flow, and that a password is required to delete the account. The response provides step-by-step instructions based on the documentation. No PII was detected. The risk level is low as it's a standard account management request with clear self-service instructions.","0.95","data/devplatform/account-recovery-complete-guide.md|data/devplatform/hackerrank_community/account-settings/manage-account/1917106962-manage-account-faqs.md|data/devplatform/hackerrank_community/account-settings/manage-account/5618101592-delete-an-account.md","low","false","en","[]"
